company_name,address,city,state,zip,phone
"ABC Corporation, Inc.","123 Main St","New York","NY","10001","(212) 555-1234"
"XYZ Manufacturing LLC","456 Industrial Blvd","Chicago","IL","60601","312-555-5678"
"Smith & Associates Co.","789 Business Park Dr","Los Angeles","CA","90001","213.555.9012"
"Global Tech Solutions","321 Tech Plaza","San Francisco","CA","94102","415-555-3456"
"Johnson Consulting Group, Ltd","654 Commerce Way","Boston","MA","02101","617-555-7890"
"DataFlow Systems Inc","987 Data Center Rd","Austin","TX","78701","512-555-2345"
"Metro Medical Supplies","246 Hospital Ln","Seattle","WA","98101","206-555-6789"
"Premier Logistics Corp.","135 Warehouse Ave","Miami","FL","33101","305-555-0123"
"Innovative Software Co","864 Silicon Dr","Denver","CO","80201","303-555-4567"
"Consolidated Industries","975 Factory Rd","Detroit","MI","48201","313-555-8901"
